"Front";"Back";"Tags";"Difficulty";"Source"
"Define topologischer Raum (Def 7.3.6).";"Sei X eine Menge. Eine Topologie auf X ist eine Teilmenge O \subset P(X ) von Teilmengen von X mit den Eigenschaften: (1) X ,\emptyset \inO. (2) Die Vereinigung beliebig vieler Mengen aus O gehört zu O. (3) Der Durchschnitt endlich vieler offener Mengen aus O gehört zu O. Das Paar ( X ,O) heißt topologischer Raum . Eine Teilmenge U \subset X heißt offen, falls U \in O. Eine Teil- menge F \subset X heißt abgeschlossen, falls X \setminus F offen ist. 7.3.7. Beispiele. (1) Ist ( X , d) ein metrischer Raum, so ist O := O(d) := {U \subset X : U offen bezüglich d} (siehe Def. 7.3.2) eine Topologie auf X , genannt die induzierte Topologie von d. Dies folgt aus Satz 7.3.3. (2) Ein topologischer Raum ( X ,O) heißt metrisierbar, falls es eine Metrik gibt mit O(d) = O. Nicht alle topo- logischen Räume sind metrisierbar . Sei X eine Menge. Die Familie O = {\emptyset, X } bilden eine Topologie, genannt grobe Topologie. Die einzigen offenen Teilmengen sind \emptysetund X , und die sind auch die einzigen abgeschlos- senen Teilmengen. Nehmen wir an, X hat mindestens zwei Punkte. Dann is ( X ,O) nicht metrisierbar . Wäre (X ,O) metrisierbar , so wäre {a} abgeschlossen für a \in X , also {a} = \emp…\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p128; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define Umgebung von a (Def 7.3.8).";"Sei ( X ,O) ein metrischer Raum, a \in X . Eine Teilmenge U \subset X heißt Umgebung von a, wenn es eine offene Menge V gibt mit a \in V \subset U. Die Menge aller Umgebungen von a wird mit Ua bezeichnet. Es gilt: U \in Ua \Longleftrightarrow \exists \varepsilon > 0 : B\varepsilon(a) \subset U. Dieselbe Definition kann man für allgemeine topologische Rä ume geben.\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p128; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define unnamed definition in 7.3 (Def 7.3.10).";"Sei (X ,O) ein metrischer (oder allgemeiner topologischer) Raum und A \subset X . Ein Punkt x \in X heißt: (i) innerer Punkt von A, wenn A eine Umgebung von x ist. (ii) Berührpunkt von A, wenn jede Umgebung von x (mindestens) einen Punkt aus A enthält. (iii) Randpunkt von A, wenn x Berührpunkt von A und X \setminus A ist. (iv) Häufungspunkt von A, wenn jede Umgebung von x unendlich viele Punkte aus A enthält. (v) isolierter Punkt von A, wenn es eine Umgebung U von x gibt mit U \cap A = {x}. (vi) äußerer Punkt von A, wenn es eine Umgebung U von x gibt mit U \cap A = \emptyset.\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p129; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define unnamed definition in 7.3 (Def 7.3.12).";"Sei ( X ,O) ein topologischer Raum, A \subset X . Wir führen ein: (i) ̊A, die Menge aller inneren Punkte von A, genannt das Innere von A. (ii) A, die Menge aller Berührpunkte von A, genannt der Abschluss von A. (iii) ∂A, die Menge aller Randpunkte, genannt der Rand von A. (iv) A′, die Menge der Häufungspunkte von A. Beispiele: (1) Sei A = (a, b) \subset R mit a, b \in R, a < b. a b (a, b) Die Menge A ist offen, also ̊A = A = (a, b). Alle Punkte aus ( a, b) sind Berührpunkte. Zusätzlich sind auch a, b Berührpunkte: Für alle \varepsilon > 0 gilt A \cap (a − \varepsilon, a + \varepsilon) = (a,min(\varepsilon, b − a)) und A \cap (b − \varepsilon, b + \varepsilon) = (min(\varepsilon, b − a), b). Somit ist A = [a, b]. Die Punkte a, b sind auch Randpunkte: Für alle \varepsilon > 0 gilt (R\ A)\cap (a− \varepsilon, a+ \varepsilon) = (a− \varepsilon, a] und (R\ A)\cap (b− \varepsilon, b+ \varepsilon) = [b, b + \varepsilon). Somit ist ∂A = {a, b}. (2) Sei A = [0,1) \cup {2} \subset (R, d2). 0 1 2 [0,1) {2} Die Menge A ist weder offen noch abgeschlossen. Das Innere besteht aus a llen Punkten des offenen Intervalls: ̊A = (0,1). Alle Punkte aus [0 ,1) sind Berührpunkte von A. Zusätzlich ist auc…\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p129; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"State Satz 7.3.13: 7.3. Topologie eines metrischen Raumes. Topologische Räume..";"Sei (X ,O) ein metrischer Raum, A \subset X . Dann gilt: (1) ̊A = \bigcup{U offen : U \subset A}, d.h. ̊A ist die größte offene Menge, die in A enthalten ist. Insbesondere ist ̊A offen. (2) A = \bigcap{F abgeschlossen : F \supset A}, d.h. A ist die kleinste abgeschlossene Menge, die A enthält. Insbe- sondere ist A abgeschlossen. (3) ∂A = A \cap X \setminus A; ∂A ist abgeschlossen. (4) ̊A = A \setminus ∂A, A = A \cup ∂A = A \cup A′ = ̊A ⊔ ∂A (5) A offen \Longleftrightarrow A = ̊A \Longleftrightarrow A \cap ∂A = \emptyset \Longleftrightarrow ∂A = A \setminus A (6) A abgeschlossen \Longleftrightarrow A = A \Longleftrightarrow ∂A \subset A \Longleftrightarrow A′\subset A (7) \operatorname{int}X \setminus A = X \setminus A, X = ̊A ⊔ ∂A ⊔ \operatorname{int}X \setminus A.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-3 ch-7";"3";"PDF p131; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define Hausdorffraum (Def 7.3.14).";"Ein topologischer Raum ( X ,O) heißt Hausdorffraum, wenn es zu jedem Paar x, y \in X mit x ̸= y Umgebungen U von x und V von y gibt mit U \cap V = \emptyset. Sei ( X , d) ein metrischer Raum. Dann ist ( X ,O(d)) ein Hausdorffraum: Für x ̸= y gilt B ( x, r 2 ) \cap B ( y, r 2 ) = \emptyset, wobei r = d(x, y) > 0 . In einem Hausdorffraum sind die einpunktigen Mengen {p} mit p \in X abgeschlossen: Zu jedem x \in X \setminus {p} wähle eine offene Umgebung Uq von q mit Uq \subset X \setminus{p}. Dann gilt X \setminus{p} = \bigcup q\in X \setminus{p} Uq und X \setminus{p} ist offen als Vereinigung von offenen Mengen.\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p131; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define dicht in X (Def 7.3.15).";"Sei (X ,O) ein topologischer Raum. Eine Teilmenge A \subset X heißt dicht in X falls A = X . Zum Beispiel, eine Teilmenge A \subset R ist dicht in R, genau dann, wenn für alle Intervalle ( a, b) in R mit a < b gilt A \cap (a, b) ̸= \emptyset. Daher sind Q und R \ Q dicht in R. Siehe dazu Satz 1.6.5; wir haben also in Definition 7.3.15 ei ne Verallgemeinerung der Dichtheit in R. Ein Beispiel in Rn: die Menge Qn liegt dicht in Rn.\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p131; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define unnamed definition in 7.3 (Def 7.3.16).";"(i) Sei ( X ,O) ein topologischer Raum, A \subset X . Dann ist OA := {U \cap A : U \in O} eine Topologie auf A, genannt induzierte Topologie oder Teilraumtopologie. (ii) Sind ( X1,O1), . . . ,(X n,On) topologische Räume, so ist O := {U \subset X1 × . . .× X n : \forall x \in U \exists Ui \in Oi, i = 1, . . . ,n : x \in U1 × . . .× Un \subset U} eine Topologie auf X1 × . . .× X n, genannt Produkttopologie von O1, . . . ,On.\n\nIntuition: This definition gives precise language for the topic of open/closed sets, neighborhoods, interior, closure, boundary, topological spaces, subspace topology.";"definition sec-7-3 ch-7";"1";"PDF p131; section 7.3. Topologie eines metrischen Raumes. Topologische Räume."
"Define Stetige Abbildungen zwischen metrischen Räumen (Def 7.4.1).";"$f:X\to Y$ is continuous at $a$ if $\forall\varepsilon>0\ \exists\delta>0: d_X(x,a)<\delta\Rightarrow d_Y(f(x),f(a))<\varepsilon$.\n\nIntuition: Small input-distance implies small output-distance.";"definition sec-7-4 ch-7 high-yield";"2";"PDF p132; section 7.4. Stetige Abbildungen"
"State Satz 7.4.3: 7.4. Stetige Abbildungen.";"Sei f : (X , dX ) \to (Y , dY ) eine Abbildung, a \in X . Die folgenden Aussagen sind äquivalent: (1) f ist stetig in a. (2) Für jede Folge (xn)n mit limn→\infty xn = a gilt limn→\infty f (xn) = f (a) (Folgenkriterium).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p133; section 7.4. Stetige Abbildungen"
"State Satz 7.4.4: 7.4. Stetige Abbildungen.";"Seien f , g : X \to C stetig in a \in X , und sei \lambda \in C. Dann gilt: (1) f + g, f ·g, \lambda ·f sind stetig in a. (2) f /g ist stetig in a, falls g(a) ̸= 0.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p134; section 7.4. Stetige Abbildungen"
"State Satz 7.4.5: 7.4. Stetige Abbildungen.";"Sei f : X \to Y stetig in a, und sei g : Y \to Z stetig in b = f (a). Dann ist g ◦ f stetig in a.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p135; section 7.4. Stetige Abbildungen"
"State Satz 7.4.6: 7.4. Stetige Abbildungen.";"Sei (X , d) ein metrischer Raum und f = ( f1, . . . ,f m) : X \to Rm. Dann ist f genau dann stetig, wenn alle Komponentenfunktionen f i : X \to R, i = 1, . . . ,m, stetig sind.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p135; section 7.4. Stetige Abbildungen"
"State Satz 7.4.7: Globale Charakterisierung der Stetigkeit.";"Seien X ,Y topologische Räume und f : X \to Y . Folgende Aussagen sind äquivalent: (1) f ist stetig. (2) Für jedes offene U \subset Y ist f − 1(U) offen. (3) Für jedes abgeschlossene F \subset Y ist f − 1(F) abgeschlossen.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7 globale charakterisierung der";"3";"PDF p136; section 7.4. Stetige Abbildungen"
"State Folgerung 7.4.8: 7.4. Stetige Abbildungen.";"Sei f : X \to R stetig, und sei I ein offenes (bzw. abgeschlossenes) Intervall. Dann ist f − 1(I) offen (bzw. abgeschlossen).\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"folgerung sec-7-4 ch-7";"3";"PDF p137; section 7.4. Stetige Abbildungen"
"What pattern is shown in Beispiel 7.4.9?";"Continuity between metric/topological spaces, sequential criteria, homeomorphisms, and uniform continuity.\n\nSource: Die n-Sphäre Sn = {x \in Rn+ 1 : x2 1 + . . .+ x2 n+ 1 = 1} ist abgeschlossen, da Sn = f − 1(1), wobei f die stetige Funktion f : Rn \to R, f (x) = x2 1 + . . .+ x2 n+ 1 ist. Wir beschreiben im folgenden zwei Beispielen von Abbildung en, die Polarkoordinaten in der Ebene und die linearen Abbildungen. Wir schreiben C∗ := C \setminus {0}. Mit der Multiplikation von komplexen Zahlen ist C∗ eine Gruppe ( C∗ , ·). Die Kreislinie S1 := {z \in C : | z| = 1} ist bezüglich der Multiplikation von komplex…";"beispiel sec-7-4 ch-7";"2";"PDF p137; section 7.4. Stetige Abbildungen"
"State Satz 7.4.10: Parametrisierung der Kreislinie.";"(i) Die Abbildung p : R \to S1, p(\varphi ) = ei\varphi = cos \varphi + i sin\varphi ist ein Gruppenmorphismus der additiven Gruppe (R,+ ) auf die multiplikative Gruppe (S1, ·) mit dem Kern 2πZ. Mit anderen Worten \forall z \in C , | z| = 1 \exists\varphi \in R : ei\varphi = z ei\varphi 1 = ei\varphi 2 \Longleftrightarrow \varphi 1 − \varphi 2 \in 2πZ (ii) Sei I \subset R ein halboffenes Intervall der Länge 2π. Dann ist p| I : I \to S1 bijektiv und stetig. Die Umkehr- funktion von p : (− π, π] \to S1 bezeichnet man mit arg : S1 \to (− π, π]. Sie ist gegeben durch (7.6) arg : S1 \to (− π, π] , arg z = { arccos(Re z) , Im z \ge 0 , − arccos(Re z) , Im z < 0 . arg : S1 \ {− 1} \to (− π, π) ist stetig, aber arg : S1 \to (− π, π] ist in − 1 nicht stetig.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7 parametrisierung der kreislinie";"3";"PDF p137; section 7.4. Stetige Abbildungen"
"Define die Standardparametrisierung der Kreislinie S1 (Def 7.4.11).";"(a) Die Funktion p : R \to S1, p(\varphi ) = ei\varphi heißt die Standardparametrisierung der Kreislinie S1. (b) Für z \in S1 heißt Arg( z) = {\varphi \in R : ei\varphi = z} = arg z + 2πZ die Menge der Argumente von z. Die Abbildung Arg : S1 \to R/2πZ ist mehrdeutig, d.h. sie assoziiert zu z \in S1 eine Menge von Werten in R. (c) Sei I \subset R ein halboffenes Intervall der Länge 2 π. Die Umkehrung ( p| I )− 1 : S1 \to I heißt ein Zweig der Argument-Abbildung. (d) Die Funktion arg = (p| (− π,π])− 1 heißt Hauptzweig von Arg. (e) Wir erweitern nun den Definitionsbereich von Arg: Setze Arg : C∗ \to R/2πZ , Arg(z) := Arg ( z | z| ) = {\varphi \in R : ei\varphi = z | z| } Für z \in C∗ heißt Arg( z) die Menge der Argumente von z. (f) Die Funktion (7.7) arg : C∗ \to (− π, π] , arg(z) := arg ( z | z| ) heißt Hauptzweig von Arg. (g) Für z \in C∗ in der Form z = re i\varphi = r(cos \varphi + i sin \varphi ) mit r = | z| und \varphi \in Arg(z) (Polarkoordinaten- darstellung von z (??)) heißen ( r, \varphi ) die Polarkoordinaten von z. Die Abbildung R+ × R \mapstoC∗ , (r, \varphi ) \mapstore i\varphi heißt Polarkoordinatenabbildung. Sei R− = {x \in R : x < 0} die negative reele Achse. Die Me…\n\nIntuition: This definition gives precise language for the topic of continuity between metric/topological spaces, sequential criteria, homeomorphisms, and uniform continuity.";"definition sec-7-4 ch-7";"1";"PDF p138; section 7.4. Stetige Abbildungen"
"State Satz 7.4.12: 7.4. Stetige Abbildungen.";"Die Polarkoordinatenabbildung P : R+ × (− π, π] \to C∗ ist bijektiv und stetig. Die Umkehrab- bildung C∗ \to R+ × (− π, π] , z \mapsto(| z| ,arg(z)) ANALYSIS I-III, 2011/2013 137 ist stetig auf C− und unstetig in allen Punkten der negativen reellen Achse R− . Also ist P : R+ × (− π, π) \to C− ein Homöomorphismus. Wir haben nun für z \in C∗ zwei Koordinatensysteme: die kartesichen Koordinaten ( x, y) = (Re z,Im z) und die Polarkoordinaten (r, \varphi ) = (| z| ,arg(z)). Für viele Probleme es ist vorteilhaft, die Polarkoordin aten zu benutzen. Zum Beispiel ist die Multiplikation zweier in Polarkoordin aten z = | z| ei\varphi , w = | z| eiψ gegebener Zahlen be- sonders einfach: Es ist zw = | z|| w| ei(\varphi + ψ ). Daraus folgt die Formel von de Moivre (siehe ( ??)). Geometrische Interpretation des Arguments: Definition des Winkelmaßes. Seien l1, l2 zwei im Punkt O einer Ebene startende Strahlen. Wir legen die positive x-Achse auf l1, so dass O = (0,0). Sei A = (1,0), B = l2 \cap S1 = (x, y) \in R2 ∼ = C. (Vorläufige) Definition des Winkelmaßes des Winkels ∢ l1l2 zwischen l1 und l2: ∢ l1l2 := ∢ AOB := arg(b) = \varphi , wobei b = x + i y. Nach der Definition von ar g gilt cos \varph…\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p138; section 7.4. Stetige Abbildungen"
"State Satz 7.4.13: n-te Einheitswurzeln.";"Zu jeder natürlichen Zahl n \in N gibt es genau n verschiedene komplexe Nullstellen des Polynoms zn − 1, nämlich ζk = ei 2π n k = (ei 2π n )k , für 0 \le k < n. Zu jedem z0 \in C \setminus {0} gibt es genau n verschiedene komplexe Nullstellen des Polynoms zn − z0, nämlich ζk = n\sqrt| z0| ei (arg z0 + 2πk) n für 0 \le k < n.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7 n te einheitswurzeln";"3";"PDF p139; section 7.4. Stetige Abbildungen"
"Define unnamed definition in 7.4 (Def 7.4.14).";"Seien X ,Y topologische Räume, A \subset X und a ein HP von A. Eine Funktion f : A \to Y hat in a den Grenzwert b \in Y , wenn es zu jeder Umgebung V von b eine Umgebung U von a gibt so, dass f (A \cap U \setminus {x0}) \subset V . Schreibweise: lim x→ a f (x) = b.\n\nIntuition: This definition gives precise language for the topic of continuity between metric/topological spaces, sequential criteria, homeomorphisms, and uniform continuity.";"definition sec-7-4 ch-7";"1";"PDF p139; section 7.4. Stetige Abbildungen"
"State Satz 7.4.16: 7.4. Stetige Abbildungen.";"Seien X ,Y metrische Räume, A \subset X , a ein HP von A, b \in Y und f : A \to Y . Die folgenden Aussagen sind äquivalent: (i) lim x→ a f (x) = b (ii) ( \varepsilon-δ-Kriterium) Für alle \varepsilon > 0 gibt es δ > 0 so, dass für alle x \in A mit x ̸= a und d(x, a) < δ gilt: d( f (x), b)) < \varepsilon (iii) ( Folgenkriterium) Für alle Folgen (xn)n mit xn \in A \setminus {a} und xn → a folgt f (xn) → b für n → \infty .\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p140; section 7.4. Stetige Abbildungen"
"State Satz 7.4.17: 7.4. Stetige Abbildungen.";"Sei f : A \to Y1 × . . .× Ym, f = ( f1, . . . ,f m), wobei Y1 × . . .× Ym ein Produkt von topologischen Räumen sei, versehen mit der Produkttopologie. Genau dann e xistiert der Grenzwert limx→ a f (x) und ist gleich b = (b1, . . . ,bm) \in Y1 × . . .× Ym, wenn für alle i = 1, . . . ,m der Grenzwert limx→ a f i(x) existiert und gleich bi ist.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-4 ch-7";"3";"PDF p140; section 7.4. Stetige Abbildungen"
"Define Kompaktheit (Def 7.5.1).";"In the script's metric/topological setting, compactness is tied to sequence compactness and finite subcover behavior as stated.\n\nIntuition: Compact sets are small enough for infinite processes to have finite/convergent structure.";"definition sec-7-5 ch-7 high-yield";"2";"PDF p140; section 7.5. Kompaktheit"
"State Satz 7.5.3: 7.5. Kompaktheit.";"Ist K \subset X kompakt, dann ist K abgeschlossen und beschränkt.\n\nUse: This is a reusable tool: check its assumptions before applying it in exercises.";"satz sec-7-5 ch-7";"3";"PDF p140; section 7.5. Kompaktheit"
